Vendor,DeviceID,DriverHi,DriverLo,NTDriverHi,NTDriverLo,CardName,Generic Name,Compatibility Flags.

0x1142, 0x643d, 0x0004000a, 0x00010819, 0x00000000, 0x00000000,3Dfx,Rush (Alliance),Disable1024x768 + NoAlphaTest + NoTripleBuffer + NoFog
0x10d9, 0x8626, 0x0004000a, 0x00010819, 0x00000000, 0x00000000,3Dfx,Rush (Macronix),Disable1024x768 + NoAlphaTest + NoTripleBuffer + NoFog
0x121a, 0x0001, 0x0004000a, 0x00010010, 0x00000000, 0x00000000,3Dfx,Voodoo 1,Disable1024x768 + NoTripleBuffer + BadMouse
0x121a, 0x0002, 0x0004000b, 0x0001015e, 0x00000000, 0x00000000,3Dfx,Voodoo 2,Disable1024x768 + AllowLowMemoryCard + NoDisablePerspective + NoParallelism + NoTripleBuffer + BadMouse
0x121a, 0x0003, 0x0004000c, 0x00010485, 0x00000000, 0x00000000,3Dfx,Banshee,AllowLowMemoryCard + NoParallelism + NoMipMap
0x121a, 0x0005, 0x0004000c, 0x000104bd, 0x00050000, 0x08930011,3Dfx,Voodoo 3,NoParallelism + AllowLowMemoryCard + Disable32BitRender
0x121a, 0x0009, 0x00000000, 0x00000000, 0x00000000, 0x00000000,3Dfx,Voodoo 5,None

0x104a, 0x0010, 0x00000000, 0x00000000, 0x00000000, 0x00000000,ST,Kyro,SceneRenderer

0x1002, 0x4354, 0x00000000, 0x00000000, 0x00000000, 0x00000000,ATI,Mach 64,None
0x1002, 0x4358, 0x00000000, 0x00000000, 0x00000000, 0x00000000,ATI,Mach 64,None
0x1002, 0x4742, 0x0004000b, 0x000113A9, 0x00000000, 0x00000000,ATI,3D Rage Pro,BrokenAlphaTest + TextureOffset + DefaultBltNotFlip
0x1002, 0x4744, 0x0004000b, 0x000113A9, 0x00000000, 0x00000000,ATI,Rage Pro,BrokenAlphaTest + TextureOffset
0x1002, 0x474d, 0x0004000b, 0x000113A9, 0x00000000, 0x00000000,ATI,3D Rage Pro,BrokenAlphaTest + TextureOffset
